"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"MAS4CHICKEN - qlearning - pruebas.nlogo"
"E1 - 10 casos"
"10/20/2024 18:34:02:808 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","1","1","1","1","1","2","2","2","2","2","3","3","3","3","3","4","4","4","4","4","5","5","5","5","5","6","6","6","6","6","7","7","7","7","7","8","8","8","8","8","9","9","9","9","9","10","10","10","10","10"
"Tiempo-espera-real","14",,,,,"14",,,,,"14",,,,,"14",,,,,"14",,,,,"14",,,,,"14",,,,,"14",,,,,"14",,,,,"14",,,,
"Intervalo-Pausa","10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,
"Cocineros-optimo","1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,
"Cocineros","2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,
"Meseros","2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,
"Tiempo-preparacion","10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,
"Meseros-optimo","2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,
"Version-Web","false",,,,,"false",,,,,"false",,,,,"false",,,,,"false",,,,,"false",,,,,"false",,,,,"false",,,,,"false",,,,,"false",,,,
"Intervalo-Clientes","20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,
"Recurso-URL","",,,,,"",,,,,"",,,,,"",,,,,"",,,,,"",,,,,"",,,,,"",,,,,"",,,,,"",,,,
"Feriado-Fin-de-Semana","true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,
"[total steps]","503","503","503","503","503","501","501","501","501","501","500","500","500","500","500","503","503","503","503","503","500","500","500","500","500","501","501","501","501","501","501","501","501","501","501","510","510","510","510","510","501","501","501","501","501","500","500","500","500","500"

"[final value]","[step]","get-waiting-time","get-cocineros-optimo","get-meseros-optimo","get-satisfaction","[step]","get-waiting-time","get-cocineros-optimo","get-meseros-optimo","get-satisfaction","[step]","get-waiting-time","get-cocineros-optimo","get-meseros-optimo","get-satisfaction","[step]","get-waiting-time","get-cocineros-optimo","get-meseros-optimo","get-satisfaction","[step]","get-waiting-time","get-cocineros-optimo","get-meseros-optimo","get-satisfaction","[step]","get-waiting-time","get-cocineros-optimo","get-meseros-optimo","get-satisfaction","[step]","get-waiting-time","get-cocineros-optimo","get-meseros-optimo","get-satisfaction","[step]","get-waiting-time","get-cocineros-optimo","get-meseros-optimo","get-satisfaction","[step]","get-waiting-time","get-cocineros-optimo","get-meseros-optimo","get-satisfaction","[step]","get-waiting-time","get-cocineros-optimo","get-meseros-optimo","get-satisfaction"
,"503","11.49","2","1","100","501","13.953333333333335","1","2","60","500","13.673333333333334","2","1","80","503","12.716666666666667","1","2","100","500","12.770000000000001","2","2","60","501","12.866666666666667","2","2","60","501","11.57","1","2","60","510","13.626666666666667","2","1","80","501","12.83","1","2","80","500","13.49","2","2","80"
